Date;Price;Open;High;Low;Vol.;Change %
16/03/2021;56,913.5;56,892.9;58,933.2;54,253.2;118.26K;3,56
17/03/2021;58,913.5;56,892.9;58,933.2;54,253.2;118.26K;3,56
18/03/2021;57,656.0;58,911.8;60,088.0;57,099.6;102.62K;-2,13
19/03/2021;58,088.0;57,645.0;59,448.3;56,305.1;83.98K;0,75
22/03/2021;54,158.3;57,379.3;58,379.9;53,784.2;95.53K;-5,62
23/03/2021;54,452.5;54,117.5;55,813.8;52,992.3;84.84K;0,54
24/03/2021;52,325.4;54,309.1;57,169.4;51,725.4;137.91K;-3,91
25/03/2021;51,322.3;52,330.0;53,175.4;50,441.3;143.35K;-1,92
26/03/2021;55,036.1;51,317.4;55,074.1;51,302.0;100.30K;7,24
29/03/2021;57,616.2;55,764.7;58,392.6;54,951.1;107.91K;3,32
30/03/2021;58,771.3;57,614.6;59,366.9;57,077.1;86.21K;2
31/03/2021;58,763.7;58,771.4;59,795.6;56,991.6;98.06K;-0,01
1/04/2021;58,718.3;58,763.2;59,406.5;58,040.7;69.04K;-0,08
5/04/2021;58,993.4;58,202.3;59,205.1;56,842.7;54.13K;1,36
6/04/2021;57,996.3;59,169.0;59,487.0;57,403.3;77.15K;-1,69
7/04/2021;55,948.7;57,996.3;58,627.7;55,489.3;110.69K;-3,53
8/04/2021;58,077.4;55,948.0;58,136.7;55,721.6;64.78K;3,8
9/04/2021;58,118.7;58,076.8;58,890.9;57,686.0;59.22K;0,07
12/04/2021;59,863.8;59,982.1;61,259.9;59,569.2;81.88K;-0,19
13/04/2021;63,540.9;59,863.6;63,659.0;59,839.4;126.56K;6,14
14/04/2021;62,980.4;63,544.2;64,778.0;61,366.3;130.43K;-0,88
15/04/2021;63,216.0;62,978.6;63,729.1;62,067.5;76.97K;0,37
16/04/2021;61,379.7;63,211.6;63,518.5;60,027.3;136.85K;-2,9
19/04/2021;55,646.1;56,208.1;57,517.0;54,272.3;117.51K;-1
20/04/2021;56,483.2;55,645.1;57,054.9;53,422.5;115.49K;1,5
21/04/2021;53,820.2;56,479.5;56,764.4;53,657.6;100.26K;-4,71
22/04/2021;51,729.5;53,821.3;55,408.4;50,590.9;168.13K;-3,88
23/04/2021;51,143.6;51,707.1;52,099.9;47,659.4;214.46K;-1,13
26/04/2021;54,020.5;48,963.5;54,320.9;48,815.9;129.76K;10,33
27/04/2021;55,036.5;54,011.1;55,427.8;53,345.0;84.08K;1,88
28/04/2021;54,841.4;55,036.0;56,419.9;53,876.4;86.96K;-0,35
29/04/2021;53,560.8;54,838.6;55,173.7;52,400.0;83.90K;-2,34
30/04/2021;57,720.3;53,562.3;57,925.6;53,088.7;103.74K;7,77
3/05/2021;57,169.8;56,605.8;58,925.1;56,562.4;89.24K;1
4/05/2021;53,741.5;57,170.6;57,201.3;53,741.5;132.33K;-6
5/05/2021;57,441.3;53,872.5;57,936.4;53,872.5;119.82K;6,88
6/05/2021;56,405.4;57,441.0;58,364.9;55,294.5;109.02K;-1,8
7/05/2021;57,337.2;56,411.4;58,639.3;55,300.1;110.01K;1,65
10/05/2021;55,848.9;58,251.2;59,523.9;53,678.3;142.61K;-4,1
11/05/2021;56,695.7;55,846.1;56,871.1;54,550.4;96.47K;1,52
12/05/2021;49,384.2;56,694.5;57,938.5;49,187.0;160.74K;-12,9
13/05/2021;49,704.6;49,398.2;51,337.3;46,331.1;236.71K;0,65
14/05/2021;49,839.8;49,704.9;51,459.2;48,874.0;118.84K;0,27
17/05/2021;43,541.3;46,424.2;46,545.4;42,201.5;274.76K;-6,21
18/05/2021;42,897.3;43,538.5;45,770.9;42,293.9;154.96K;-1,48
19/05/2021;36,720.5;42,898.3;43,516.6;30,261.7;607.10K;-14,4
20/05/2021;40,717.2;36,706.8;42,425.9;35,010.4;269.75K;10,88
21/05/2021;37,297.4;40,611.2;42,108.3;33,592.3;315.50K;-8,4
24/05/2021;38,750.6;34,720.3;39,851.7;34,474.6;244.88K;11,74
25/05/2021;38,378.3;38,753.6;39,740.8;36,540.7;163.01K;-0,96
26/05/2021;39,249.2;38,375.7;40,750.0;37,847.0;153.80K;2,27
27/05/2021;38,417.3;39,249.0;40,322.2;37,190.8;122.93K;-2,12
28/05/2021;35,662.5;38,543.2;38,844.1;34,772.4;199.58K;-7,17
1/06/2021;36,687.6;37,294.3;37,850.3;35,742.7;113.48K;-1,64
2/06/2021;37,555.8;36,687.7;38,199.9;35,981.1;96.89K;2,37
3/06/2021;39,187.3;37,555.7;39,462.3;37,193.6;106.44K;4,34
4/06/2021;36,851.3;39,191.4;39,255.4;35,659.9;127.71K;-5,96
7/06/2021;33,578.0;35,815.4;36,754.6;33,410.1;119.50K;-6,25
8/06/2021;33,382.9;33,574.6;34,047.8;31,158.1;193.54K;-0,58
9/06/2021;37,332.2;33,385.5;37,517.6;32,428.6;209.82K;11,83
10/06/2021;36,649.4;37,375.2;38,340.8;35,824.0;154.32K;-1,83
11/06/2021;37,314.6;36,654.3;37,641.1;36,003.3;109.15K;1,81
14/06/2021;40,529.4;39,024.1;40,970.4;38,769.9;157.35K;3,86
15/06/2021;40,156.1;40,522.5;41,318.0;39,589.9;117.55K;-0,92
16/06/2021;38,336.0;40,148.1;40,494.4;38,156.4;123.52K;-4,53
17/06/2021;38,052.0;38,337.8;39,529.9;37,425.3;109.58K;-0,74
18/06/2021;35,749.4;38,045.5;38,166.0;35,198.5;102.84K;-6,05
21/06/2021;31,692.0;35,597.9;35,708.4;31,284.1;256.87K;-10,97
22/06/2021;32,496.4;31,682.7;33,272.5;28,901.8;309.65K;2,54
23/06/2021;33,674.3;32,498.3;34,784.3;31,736.5;173.34K;3,62
24/06/2021;34,665.8;33,678.1;35,249.9;32,356.7;119.25K;2,94
