Date;Close;Volume;Open;High;Low
03/16/2021;17309;170463;17307;17405;17244
03/17/2021;17271;214084;1730;17506;1722
03/18/2021;17346;18942;17459;1756;17191
03/19/2021;17439;36859;17363;17482;17293
03/22/2021;17404;36260;17475;17492;17286
03/23/2021;17275;62567;17412;17293;17277
03/24/2021;17355;68820;17282;17399;17248
03/25/2021;17273;73549;1736;17322;17225
03/26/2021;17347;98882;17275;17379;17212
03/29/2021;17146;171876;17324;17348;17056
03/30/2021;16860;218812;1713;17148;16783
03/31/2021;17156;205346;16859;17163;16773
4/01/2021;17284;166688;1709;1732;17064
4/05/2021;17288;100575;1730;17344;17216
4/06/2021;17430;148878;17292;17455;17422
4/07/2021;17416;118174;17444;17441;1736
4/08/2021;17582;140648;17386;17594;17336
4/09/2021;17448;165011;17565;17582;17308
4/12/2021;17327;122724;17445;17337;1727
04/13/2021;17476;170934;17322;17481;17446
04/14/2021;17363;141968;17464;17374;17361
04/15/2021;17668;193552;17366;17662;17636
04/16/2021;17802;167944;17648;17847;17603
04/19/2021;17706;178114;17788;17904;17666
04/20/2021;17784;165014;17705;17808;17635
04/21/2021;17931;171089;17791;17959;17905
04/22/2021;17820;160685;17945;17848;17787
04/23/2021;17778;171772;1784;17963;17695
04/26/2021;17801;136847;17761;17824;17803
04/27/2021;17788;140469;17811;17859;17739
04/28/2021;17739;190626;17764;17827;17618
04/29/2021;17683;222795;17819;17745;17713
04/30/2021;17677;160763;17724;1770;17649
5/03/2021;17918;198798;17681;17941;17908
5/04/2021;17760;225083;17932;17995;17692
5/05/2021;17843;176172;17784;17881;17854
5/06/2021;18157;277680;1787;18165;1813
5/07/2021;18313;332450;18154;18334;18306
5/10/2021;18376;254657;18354;18463;18305
5/11/2021;18361;294462;18362;18392;18373
5/12/2021;18228;323911;18382;18447;1813
05/13/2021;18240;238443;18162;18291;18084
05/14/2021;18381;222090;18264;18471;1819
05/17/2021;18676;260925;18459;18679;18662
05/18/2021;18680;219676;18673;18706;18688
05/19/2021;18815;387547;18702;1874;1862
05/20/2021;18839;43110;18722;18872;18662
