Date;Close;Volume;Open;High;Low;;
03/17/2021;19068;46317;1933;19427;18821;;
03/18/2021;17859;54770;1899;19132;17459;;
03/19/2021;18220;56656;1775;18321;1757;;
03/22/2021;18303;45341;18256;18412;17965;;
03/23/2021;17502;48381;18241;18273;17315;;
03/24/2021;18265;47204;17357;18308;17335;;
03/25/2021;17496;45006;18206;18222;17322;;
03/26/2021;18114;40364;17486;1822;17473;;
03/29/2021;18115;36210;18144;18152;18043;;
03/30/2021;17914;29972;18164;18272;17796;;
03/31/2021;17698;31397;17927;18086;17623;;
4/01/2021;18316;38685;17745;18363;1775;;
4/05/2021;17724;30662;183;1833;17487;;
4/06/2021;17941;35338;17741;17966;17888;;
4/07/2021;18079;37968;17911;18107;17618;;
4/08/2021;18098;31827;18052;18125;17845;;
4/09/2021;18076;35079;18079;18128;17882;;
4/12/2021;18080;42624;18073;18426;17877;;
04/13/2021;18145;38319;1808;18247;18011;;
04/14/2021;18920;36501;18256;18964;18249;;
04/15/2021;19004;32468;18839;19009;18775;;
04/16/2021;18975;31209;18934;19109;18883;;
04/19/2021;18947;27206;18927;19047;18836;;
04/20/2021;18820;49898;1895;19174;18507;;
04/21/2021;18555;45538;18774;18668;18456;;
04/22/2021;18629;47337;18504;18684;18516;;
04/23/2021;18757;38885;18629;18851;18547;;
04/26/2021;18808;52378;1875;18823;18792;;
04/27/2021;19071;51999;18823;19156;188;;
04/28/2021;19397;47548;19125;19526;19017;;
04/29/2021;19625;47484;19371;19605;19567;;
04/30/2021;19224;47517;19566;19259;19169;;
5/03/2021;19519;36514;19183;19551;19512;;
5/04/2021;19988;49940;19543;20012;19837;;
5/05/2021;20025;51848;20144;19963;19922;;
5/06/2021;19895;34369;19952;19973;19858;;
5/07/2021;20106;50049;19926;20122;20053;;
5/10/2021;20166;72280;206;20776;19958;;
5/11/2021;20432;58019;20164;20452;20382;;
5/12/2021;20695;65858;20418;2081;20311;;
05/13/2021;20009;60368;20669;2069;19827;;
05/14/2021;20362;40212;19997;20407;19857;;
05/17/2021;20586;29487;20355;20607;20574;;
05/18/2021;20544;39011;20592;20562;20458;;
05/19/2021;20051;44766;20466;20061;19973;;
05/20/2021;19635;45746;20048;19917;19544;;
05/21/2021;19876;47954;19585;20018;19471;;
05/24/2021;20412;40124;19918;20453;20197;;
05/25/2021;20339;41622;2044;2036;20264;;
05/26/2021;20439;43854;20336;20485;2018;;
05/27/2021;20552;39281;2046;20588;20548;;
05/28/2021;20383;38200;20558;2072;20335;;
6/01/2021;20715;59801;2044;20809;20777;;
6/02/2021;21071;38796;20775;21105;20907;;
6/03/2021;21017;33652;21061;2105;20906;;
6/04/2021;21199;24674;21046;21216;21122;;
6/07/2021;21156;35624;21134;21174;2116;;
6/08/2021;21350;42629;21156;21404;2092;;
6/09/2021;21295;34014;21344;21502;21186;;
6/10/2021;21434;37223;21226;21451;2101;;
6/11/2021;21207;49701;21417;21528;20912;;
06/14/2021;21116;33463;21146;21422;21074;;
06/15/2021;21123;30713;21116;21267;21036;;
06/16/2021;21034;42293;21129;21278;2087;;
06/17/2021;20668;42564;20944;21106;20376;;
06/18/2021;20932;35039;20679;2102;20432;;
06/21/2021;21297;52323;20903;21327;20737;;
06/22/2021;21544;51340;2128;21609;21185;;
06/23/2021;21624;57053;21551;21916;21503;;
06/24/2021;21650;52750;21635;21683;21344;;
06/25/2021;21515;57922;2166;2178;20902;;
06/28/2021;21208;48629;21496;21582;2119;;
06/29/2021;21245;37530;2122;21512;21015;;
06/30/2021;21283;38800;2134;2148;21084;;
7/01/2021;21562;46229;21314;21867;21283;;
7/02/2021;21791;34014;21495;21841;21411;;
7/06/2021;21049;58219;2179;22101;20984;;
7/07/2021;20891;48610;21243;21505;2062;;
7/08/2021;21204;47625;20849;21299;2051;;
7/09/2021;21552;36661;21281;21654;21117;;
7/12/2021;21498;37241;21527;21603;21164;;
07/13/2021;21844;35249;2151;21877;21444;;
07/14/2021;21435;47064;21792;2183;21098;;
07/15/2021;21141;24552;21395;21437;21038;;
07/16/2021;21150;18823;21068;21298;2085;;
07/19/2021;19868;45001;21014;21081;19691;;
07/20/2021;20142;39069;19859;20209;19641;;
07/21/2021;20886;45148;19973;20942;19942;;
07/22/2021;21336;49613;20884;21371;20748;;
07/23/2021;21354;46263;21324;21402;21222;;
07/26/2021;21525;44751;21374;21599;21007;;
07/27/2021;21456;49484;21591;2167;21329;;
07/28/2021;21577;36546;215;21627;21429;;
07/29/2021;21921;40592;2155;21952;21537;;
07/30/2021;21956;37452;2191;22045;21759;;
8/02/2021;21358;36853;2191;21947;21183;;
8/03/2021;21264;40976;21438;21587;20892;;
8/04/2021;20741;54316;21235;21358;20666;;
8/05/2021;21060;46952;20741;21081;206;;
8/06/2021;20845;45079;21027;2126;20732;;
8/09/2021;20421;49689;20758;20758;20059;;
8/10/2021;20802;46626;2048;20965;20384;;
8/11/2021;21058;51602;2089;21122;20456;;
8/12/2021;21039;42570;21114;21136;20775;;
08/13/2021;20779;42317;21;21074;20634;;
08/16/2021;20483;45338;20689;20769;20166;;
08/17/2021;20392;27806;20583;20682;20333;;
08/18/2021;20246;43381;20381;20639;20013;;
08/19/2021;19714;57849;20031;20108;19465;;
08/20/2021;19100;60894;19661;19734;18971;;
08/23/2021;20082;70091;18988;20157;18976;;
08/24/2021;20694;68180;20053;20735;20018;;
08/25/2021;21181;80143;20694;21214;20548;;
08/26/2021;20811;71120;21108;21194;20697;;
08/27/2021;21070;52387;20755;21152;20685;;
08/30/2021;21378;71013;21296;21509;20979;;
08/31/2021;21302;51745;21376;21423;21043;;
9/01/2021;21289;49247;21347;21315;21172;;
9/02/2021;21677;41905;21219;21836;211;;
9/03/2021;21594;35775;21621;21848;21491;;
9/07/2021;21216;43807;21546;21656;21096;;
9/08/2021;21364;47066;21228;21525;21205;;
9/09/2021;21137;45103;2135;21463;20911;;
9/10/2021;21460;37196;21105;21557;21011;;
09/13/2021;21583;36446;21436;21738;2138;;
09/14/2021;21591;36173;21612;21734;2143;;
09/15/2021;22035;34240;2163;22225;21623;;
09/16/2021;22090;38273;22019;22141;21725;;
09/17/2021;22064;41324;2189;2216;2189;;
09/20/2021;21561;48121;22079;22097;21457;;
09/21/2021;21710;41652;21656;21922;21411;;
09/22/2021;22087;58927;21769;22114;21723;;
09/23/2021;22464;54096;22034;22485;21884;;
09/24/2021;22646;48417;2243;2268;22292;;
09/27/2021;22931;61228;22656;23099;2265;;
09/28/2021;22860;62019;22901;23297;22624;;
09/29/2021;23047;48313;22709;23149;22503;;
09/30/2021;23385;63867;23111;23662;2325;;
10/01/2021;23827;45071;23396;23871;23222;;
