Date;Close;Volume;Open;High;Low;n;;
03/17/2021;26058;53877;26005;26615;25805;253;;1
03/18/2021;26351;75265;264;2674;25875;252;;
03/19/2021;26321;51175;2615;264;25925;251;;
03/22/2021;25769;60953;2634;2635;2545;250;;
03/23/2021;25227;61646;2585;2511;25055;249;;
03/24/2021;25231;42488;2512;2543;2502;248;;
03/25/2021;25047;84471;2517;2524;24925;247;;
03/26/2021;25114;41109;2515;25335;2492;246;;
03/29/2021;24771;51320;25105;2515;2448;245;;
03/30/2021;24137;68953;24725;2477;2388;244;;
03/31/2021;24532;64445;24045;24565;2374;243;;
4/01/2021;24948;62056;2446;25045;2427;242;;
4/05/2021;24780;38324;2505;2514;2466;241;;
4/06/2021;25227;52014;24905;25225;2516;240;;
4/07/2021;25247;42705;2521;2533;25125;239;;
4/08/2021;25585;59692;2521;25675;2502;238;;
4/09/2021;25325;57602;2553;25555;2501;237;;
4/12/2021;24867;61248;253;24885;24725;236;;
04/13/2021;25426;72896;2483;25465;2537;235;;
04/14/2021;25524;52957;25405;25485;2544;234;;
04/15/2021;25964;70522;2548;25955;25895;233;;
04/16/2021;26105;56487;2594;2638;25795;232;;
04/19/2021;25837;67083;26055;2628;2567;231;;
04/20/2021;25840;69918;25875;2615;25725;230;;
04/21/2021;26606;17296;259;26765;26535;229;;
04/22/2021;26219;19537;267;2626;26055;228;;
04/23/2021;26114;18206;2624;2651;2593;227;;
04/26/2021;26247;35182;2609;2632;2626;226;;
04/27/2021;26450;45944;26355;2656;2614;225;;
04/28/2021;26118;55382;2638;2638;25875;224;;
04/29/2021;26085;79346;263;26205;2613;223;;
04/30/2021;25873;54442;2617;26005;25855;222;;
5/03/2021;26960;71503;2599;27045;26925;221;;
5/04/2021;26558;68803;27015;2724;2616;220;;
5/05/2021;26522;40143;26595;2661;2653;219;;
5/06/2021;27477;85955;2659;27515;27405;218;;
5/07/2021;27565;78921;2745;2758;2751;217;;
5/10/2021;27492;63916;2768;28005;2732;216;;
5/11/2021;27667;60622;274;2778;2772;215;;
5/12/2021;27244;76020;2776;2783;2703;214;;
05/13/2021;27059;62643;27095;2733;2678;213;;
05/14/2021;27365;57316;2719;27595;2692;212;;
05/17/2021;28274;82860;27515;2837;283;211;;
05/18/2021;28333;74122;28325;28395;28275;210;;
05/19/2021;28025;107527;283;2786;2758;209;;
05/20/2021;28067;55280;2784;28125;2749;208;;
05/21/2021;27486;76044;2787;28195;27265;207;;
05/24/2021;27905;50388;2769;28015;2755;206;;
05/25/2021;28056;67658;2788;2814;2804;205;;
05/26/2021;27877;64614;28105;2834;27685;204;;
05/27/2021;27940;55762;27765;2798;2793;203;;
05/28/2021;28014;65114;2798;28095;2748;202;;
6/01/2021;28102;106907;28035;28035;2793;201;;
6/02/2021;28204;52726;27995;2832;27765;200;;
6/03/2021;27477;102290;28295;27565;27415;199;;
6/04/2021;27896;74415;2753;2794;27865;198;;
6/07/2021;28018;56079;2791;28085;27595;197;;
6/08/2021;27731;66083;28025;2812;2761;196;;
